2020 Unofficial General Election Results,,,,,
City of Philadelphia,,,,,
Divisions 1703 of 1703 Reporting,,,,,
Downloaded at 11/10/2020 5:15:35 PM,,,,,
,,,,,
,,,,,
PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES<br/>(VOTE FOR 1),Ward-Division,JOSEPH R BIDEN AND KAMALA D HARRIS,DONALD J TRUMP AND MICHAEL R PENCE,JO JORGENSEN AND JEREMY SPIKE COHEN,Write-in
,01-01,307,73,3,2
,01-02,431,95,3,4
,01-03,410,145,4,2
,01-04,356,139,3,2
,01-05,201,45,1,1
,01-06,314,50,2,1
,01-07,267,44,0,2
,01-08,346,77,3,2
,01-09,322,100,2,0
,01-10,418,76,2,3
,01-11,483,87,8,1
,01-12,307,72,4,3
,01-13,509,74,6,2
,01-14,395,51,4,0
,01-15,525,115,6,2
,01-16,322,59,2,1
,01-17,356,133,8,0
,01-18,318,195,4,1
,01-19,330,173,10,3
,01-20,448,109,2,1
,01-21,369,187,5,0
,02-01,554,169,3,0
,02-02,308,79,0,2
,02-03,321,83,3,3
,02-04,426,78,3,1
,02-05,398,89,2,3
,02-06,427,89,5,4
,02-07,564,108,7,4
,02-08,368,81,3,3
,02-09,482,36,3,2
,02-10,438,84,4,1
,02-11,465,96,4,1
,02-12,517,65,6,2
,02-13,207,13,3,3
,02-14,467,63,4,3
,02-15,491,48,5,1
,02-16,534,34,1,3
,02-17,491,58,4,2
,02-18,400,71,1,3
,02-19,442,56,1,1
,02-20,346,32,3,5
,02-21,407,36,3,1
,02-22,662,38,1,2
,02-23,565,61,6,2
,02-24,521,67,3,0
,02-25,426,39,6,2
,02-26,484,41,5,0
,02-27,538,96,4,1
,02-28,450,156,4,0
,02-29,575,69,1,2
,03-01,381,7,2,1
,03-02,420,11,2,0
,03-03,432,9,0,0
,03-04,432,8,2,0
,03-05,335,10,1,0
,03-06,391,6,1,2
,03-07,344,6,2,0
,03-08,393,11,1,3
,03-09,446,11,2,1
,03-10,376,8,0,0
,03-11,450,10,2,1
,03-12,408,5,0,0
,03-13,307,8,2,0
,03-14,390,8,1,1
,03-15,414,2,0,1
,03-16,480,12,1,0
,03-17,442,8,2,1
,03-18,440,10,4,2
,03-19,454,8,0,5
,03-20,337,14,3,1
,03-21,238,7,0,1
,03-22,357,7,0,1
,04-01,328,7,1,1
,04-02,434,4,4,0
,04-03,467,15,2,1
,04-04,308,5,0,0
,04-05,388,6,3,1
,04-06,432,15,1,2
,04-07,454,8,1,0
,04-08,427,7,1,0
,04-09,392,8,0,5
,04-10,399,10,1,1
,04-11,412,13,2,0
,04-12,365,8,0,0
,04-13,426,13,3,1
,04-14,358,10,0,0
,04-15,420,15,0,1
,04-16,438,16,8,1
,04-17,401,3,6,0
,04-18,432,10,2,0
,04-19,283,6,0,0
,04-20,393,15,2,0
,04-21,404,3,1,0
,05-01,438,90,2,1
,05-02,592,115,5,1
,05-03,561,91,4,0
,05-04,755,78,6,3
,05-05,564,85,1,0
,05-06,712,54,2,5
,05-07,575,43,6,1
,05-08,740,52,5,2
,05-09,844,142,9,6
,05-10,741,165,3,2
,05-11,689,71,7,1
,05-12,424,82,1,0
,05-13,295,50,0,0
,05-14,507,43,2,5
,05-15,458,47,10,2
,05-16,485,60,4,0
,05-17,658,87,5,0
,05-18,864,174,5,3
,05-19,752,110,7,1
,05-20,363,29,2,2
,05-21,645,86,1,3
,05-22,439,64,2,2
,05-23,875,113,6,4
,05-24,372,72,4,3
,05-25,523,52,3,2
,05-26,661,98,4,1
,05-27,650,112,11,3
,05-28,931,134,11,4
,05-29,269,31,1,0
,05-30,603,114,9,3
,05-31,329,56,8,1
,05-32,779,89,4,1
,05-33,449,100,5,0
,05-34,415,153,12,1
,05-35,340,56,4,0
,05-36,349,69,4,0
,05-37,418,77,3,1
,06-01,520,20,3,3
,06-02,224,9,0,2
,06-03,588,31,4,7
,06-04,398,19,6,0
,06-05,238,7,0,4
,06-06,283,6,2,1
,06-07,353,8,1,1
,06-08,229,9,0,0
,06-09,242,8,1,1
,06-10,222,3,2,3
,06-11,425,17,4,0
,06-12,315,8,4,0
,06-13,272,5,4,2
,06-14,296,12,1,1
,06-15,320,11,4,1
,06-16,336,11,2,0
,06-17,349,17,3,2
,06-18,389,15,3,0
,07-01,233,35,0,0
,07-02,163,38,2,1
,07-03,158,29,3,0
,07-04,287,49,2,0
,07-05,401,80,3,1
,07-06,265,60,4,2
,07-07,190,50,0,0
,07-08,274,32,2,1
,07-09,170,33,1,2
,07-10,210,58,0,2
,07-11,310,62,1,0
,07-12,330,71,2,1
,07-13,175,32,3,0
,07-14,238,44,3,0
,07-15,146,29,0,0
,07-16,191,24,0,1
,07-17,221,43,0,0
,07-18,257,44,0,1
,07-19,201,39,0,0
,07-20,159,25,0,0
,07-21,267,49,0,0
,07-22,178,32,1,0
,07-23,135,45,1,1
,08-01,565,43,4,1
,08-02,526,75,3,4
,08-03,773,83,4,4
,08-04,667,85,0,7
,08-05,443,56,3,4
,08-06,498,100,3,2
,08-07,634,108,5,4
,08-08,649,101,7,1
,08-09,801,90,8,5
,08-10,845,139,8,0
,08-11,592,99,3,1
,08-12,673,94,2,0
,08-13,483,71,2,2
,08-14,508,61,3,3
,08-15,554,121,4,0
,08-16,438,68,2,1
,08-17,631,139,4,1
,08-18,793,128,5,2
,08-19,584,74,7,5
,08-20,447,95,4,3
,08-21,424,88,2,2
,08-22,496,98,5,0
,08-23,648,114,5,3
,08-24,516,75,4,1
,08-25,954,198,7,0
,08-26,601,74,7,5
,08-27,517,60,3,1
,08-28,573,39,4,2
,08-29,762,143,2,1
,08-30,930,157,9,3
,08-31,645,82,4,5
,08-32,513,57,4,5
,08-33,571,63,6,1
,08-34,487,89,5,0
,08-35,480,71,4,1
,09-01,498,25,1,3
,09-02,493,34,2,1
,09-03,663,39,4,2
,09-04,498,62,3,2
,09-05,532,64,2,4
,09-06,596,87,0,3
,09-07,468,88,3,3
,09-08,359,58,3,0
,09-09,704,85,1,1
,09-10,703,89,9,4
,09-11,778,103,3,1
,09-12,663,48,8,2
,09-13,542,13,1,4
,09-14,419,10,4,3
,09-15,531,19,1,0
,09-16,484,42,6,1
,09-17,392,26,6,3
,10-01,399,4,1,2
,10-02,519,15,1,0
,10-03,426,9,1,2
,10-04,400,11,0,0
,10-05,419,11,0,2
,10-06,414,4,1,0
,10-07,377,9,2,2
,10-08,406,9,1,0
,10-09,392,4,1,1
,10-10,354,7,0,0
,10-11,470,13,0,0
,10-12,460,6,4,0
,10-13,563,7,3,0
,10-14,512,17,1,1
,10-15,388,2,4,0
,10-16,397,4,2,0
,10-17,383,11,2,2
,10-18,405,6,1,0
,10-19,401,7,3,3
,10-20,485,13,4,0
,10-21,545,3,3,1
,10-22,308,14,1,1
,10-23,408,9,1,1
,10-24,387,8,0,1
,10-25,426,5,1,0
,10-26,419,6,3,1
,10-27,397,11,1,1
,10-28,370,4,2,1
,10-29,450,14,2,0
,11-01,159,4,0,0
,11-02,310,10,0,1
,11-03,247,5,1,0
,11-04,132,6,3,0
,11-05,230,7,0,0
,11-06,178,4,2,0
,11-07,305,7,0,1
,11-08,365,9,0,2
,11-09,342,20,2,0
,11-10,197,3,1,0
,11-11,327,16,0,0
,11-12,198,10,1,0
,11-13,369,7,2,0
,11-14,249,9,3,0
,11-15,166,5,1,0
,11-16,317,5,2,0
,11-17,190,17,3,1
,11-18,254,9,0,0
,11-19,354,13,2,1
,11-20,365,9,1,0
,12-01,389,8,3,1
,12-02,322,11,1,1
,12-03,297,13,1,1
,12-04,244,14,0,3
,12-05,501,22,4,1
,12-06,315,22,3,0
,12-07,406,20,1,2
,12-08,447,20,3,6
,12-09,324,10,5,2
,12-10,381,9,3,0
,12-11,475,23,7,3
,12-12,375,10,5,1
,12-13,323,16,0,0
,12-14,443,17,4,0
,12-15,476,30,1,3
,12-16,485,25,2,0
,12-17,460,15,5,1
,12-18,332,19,3,1
,12-19,285,11,4,1
,12-20,330,12,4,0
,12-21,289,5,1,1
,12-22,449,21,0,3
,12-23,525,13,3,5
,12-24,375,9,1,0
,13-01,440,13,1,1
,13-02,297,7,0,0
,13-03,289,14,2,0
,13-04,435,28,3,0
,13-05,431,20,2,2
,13-06,372,7,1,1
,13-07,182,4,1,0
,13-08,276,6,2,0
,13-09,333,8,3,0
,13-10,269,10,2,1
,13-11,324,12,0,0
,13-12,310,8,0,1
,13-13,300,10,2,1
,13-14,348,9,0,0
,13-15,296,5,2,1
,13-16,337,8,1,0
,13-17,371,8,0,0
,13-18,339,20,2,1
,13-19,363,10,4,1
,13-20,316,9,1,2
,13-21,224,7,2,1
,13-22,496,21,0,1
,13-23,269,15,0,0
,13-24,217,9,1,0
,13-25,264,4,1,0
,14-01,731,84,3,0
,14-02,337,10,2,0
,14-03,342,3,1,1
,14-04,525,16,2,4
,14-05,262,21,2,1
,14-06,271,5,0,0
,14-07,371,33,4,3
,14-08,94,4,0,0
,14-09,305,41,1,0
,14-10,442,57,1,4
,14-11,271,14,1,1
,15-01,657,83,7,6
,15-02,579,88,4,5
,15-03,690,67,8,2
,15-04,351,40,5,0
,15-05,458,54,5,0
,15-06,634,72,0,0
,15-07,779,82,7,3
,15-08,500,71,1,1
,15-09,481,75,5,1
,15-10,633,50,3,3
,15-11,573,69,6,0
,15-12,471,56,5,1
,15-13,435,36,4,0
,15-14,467,72,3,2
,15-15,383,30,1,2
,15-16,488,54,2,2
,15-17,506,66,3,1
,15-18,563,63,5,2
,15-19,471,88,5,4
,16-01,183,13,1,1
,16-02,255,8,0,3
,16-03,308,9,1,0
,16-04,190,5,0,0
,16-05,201,5,1,1
,16-06,232,11,0,0
,16-07,253,7,0,0
,16-08,201,6,1,1
,16-09,248,4,1,1
,16-10,156,11,1,0
,16-11,241,6,0,0
,16-12,252,2,1,1
,16-13,208,7,1,1
,16-14,135,5,4,0
,16-15,224,10,1,1
,16-16,179,14,1,0
,16-17,339,10,2,0
,16-18,342,5,2,0
,17-01,345,20,1,1
,17-02,354,3,0,0
,17-03,404,7,0,0
,17-04,433,46,1,0
,17-05,276,8,2,0
,17-06,318,6,1,2
,17-07,434,15,0,0
,17-08,346,3,1,2
,17-09,319,6,1,0
,17-10,398,16,3,2
,17-11,338,12,1,1
,17-12,392,14,2,2
,17-13,370,10,1,2
,17-14,429,15,2,1
,17-15,333,12,1,4
,17-16,219,6,2,0
,17-17,265,12,0,3
,17-18,368,11,4,1
,17-19,283,4,2,1
,17-20,385,16,1,0
,17-21,459,15,1,0
,17-22,383,13,2,1
,17-23,249,14,1,0
,17-24,423,13,2,2
,17-25,301,4,0,1
,17-26,134,4,1,0
,17-27,288,11,1,0
,17-28,293,6,2,2
,17-29,352,5,2,1
,18-01,545,87,6,3
,18-02,372,69,4,1
,18-03,234,32,2,1
,18-04,384,83,8,1
,18-05,478,156,7,2
,18-06,504,119,4,3
,18-07,471,129,5,3
,18-08,130,20,4,3
,18-09,612,83,3,3
,18-10,534,114,12,4
,18-11,415,120,4,0
,18-12,427,127,12,0
,18-13,264,30,2,2
,18-14,582,50,10,2
,18-15,400,43,2,1
,18-16,573,87,2,4
,18-17,666,91,7,3
,18-18,724,122,11,5
,18-19,513,121,9,4
,19-01,203,32,3,0
,19-02,280,65,0,0
,19-03,180,33,2,0
,19-04,193,32,1,0
,19-05,161,38,0,0
,19-06,171,27,1,0
,19-07,224,33,2,1
,19-08,221,34,1,1
,19-09,201,31,1,1
,19-10,382,66,4,4
,19-11,253,29,3,1
,19-12,274,46,3,2
,19-13,240,33,3,0
,19-14,115,20,2,1
,19-15,177,20,0,1
,19-16,299,38,3,0
,19-17,180,19,0,0
,19-18,202,15,2,0
,19-19,189,35,2,0
,20-01,383,38,8,2
,20-02,226,27,1,0
,20-03,313,9,0,1
,20-04,414,13,2,0
,20-05,133,9,0,1
,20-06,416,22,1,0
,20-07,358,10,1,3
,20-08,230,13,1,1
,20-09,215,17,4,2
,20-10,346,24,1,0
,20-11,409,28,1,2
,21-01,446,92,8,3
,21-02,534,151,10,1
,21-03,300,33,4,0
,21-04,436,105,9,6
,21-05,598,234,8,4
,21-06,439,95,10,5
,21-07,536,124,12,5
,21-08,402,90,11,5
,21-09,561,137,10,2
,21-10,333,107,3,0
,21-11,485,80,6,2
,21-12,394,87,6,5
,21-13,403,102,6,3
,21-14,528,88,10,5
,21-15,528,116,8,1
,21-16,318,135,7,3
,21-17,494,146,5,2
,21-18,364,89,6,1
,21-19,348,104,9,0
,21-20,350,82,5,0
,21-21,354,142,11,6
,21-22,593,236,13,1
,21-23,735,71,10,3
,21-24,734,56,6,3
,21-25,445,158,13,2
,21-26,336,154,5,0
,21-27,451,129,7,1
,21-28,330,176,3,3
,21-29,610,232,14,8
,21-30,494,233,8,0
,21-31,323,174,5,0
,21-32,275,177,2,0
,21-33,582,259,5,5
,21-34,533,323,9,2
,21-35,473,134,5,2
,21-36,325,90,5,2
,21-37,369,144,8,2
,21-38,337,240,3,1
,21-39,536,198,12,2
,21-40,517,201,7,3
,21-41,425,219,10,5
,21-42,250,186,5,0
,21-43,271,139,5,2
,21-44,320,329,8,6
,21-45,379,136,6,0
,22-01,661,20,2,0
,22-02,646,33,0,2
,22-03,460,21,1,2
,22-04,401,10,6,1
,22-05,537,23,1,1
,22-06,662,29,6,3
,22-07,648,30,8,3
,22-08,400,6,1,0
,22-09,416,6,3,1
,22-10,480,13,4,0
,22-11,331,16,3,3
,22-12,415,13,3,3
,22-13,413,8,3,1
,22-14,460,11,5,1
,22-15,446,13,4,4
,22-16,437,15,1,2
,22-17,421,12,3,1
,22-18,367,9,2,3
,22-19,419,10,6,1
,22-20,339,9,0,2
,22-21,362,9,1,2
,22-22,408,9,2,1
,22-23,406,14,3,2
,22-24,405,21,2,3
,22-25,367,13,0,1
,22-26,407,18,2,2
,22-27,440,7,6,1
,22-28,377,6,0,2
,22-29,441,24,2,0
,23-01,169,43,0,0
,23-02,229,65,1,3
,23-03,183,35,0,0
,23-04,375,86,2,0
,23-05,294,42,3,0
,23-06,328,67,2,4
,23-07,346,46,4,1
,23-08,361,60,6,2
,23-09,341,80,5,9
,23-10,546,141,6,5
,23-11,369,96,1,0
,23-12,334,64,1,3
,23-13,412,92,3,2
,23-14,254,181,8,5
,23-15,230,83,2,1
,23-16,323,30,2,0
,23-17,269,30,3,0
,23-18,268,11,2,1
,23-19,282,32,0,0
,23-20,304,52,4,0
,23-21,356,31,3,1
,23-22,253,51,2,1
,23-23,189,50,1,0
,24-01,350,22,3,0
,24-02,329,20,2,1
,24-03,380,14,5,1
,24-04,323,12,2,0
,24-05,447,34,0,6
,24-06,688,71,0,3
,24-07,349,10,3,1
,24-08,574,28,6,5
,24-09,258,3,4,0
,24-10,125,20,2,0
,24-11,303,15,3,0
,24-12,304,7,3,0
,24-13,261,15,1,0
,24-14,283,4,2,0
,24-15,164,5,2,2
,24-16,171,5,0,0
,24-17,173,7,0,2
,24-18,140,21,2,1
,24-19,248,25,0,2
,25-01,190,172,5,3
,25-02,220,65,3,2
,25-03,244,175,4,2
,25-04,224,183,12,6
,25-05,216,207,1,0
,25-06,181,149,5,0
,25-07,195,205,2,0
,25-08,224,145,5,1
,25-09,176,55,1,1
,25-10,169,128,4,1
,25-11,232,118,6,2
,25-12,215,153,3,3
,25-13,228,39,4,0
,25-14,171,34,1,0
,25-15,186,49,1,2
,25-16,147,33,1,2
,25-17,167,28,3,0
,25-18,195,54,2,1
,25-19,190,55,1,0
,25-20,221,32,2,0
,25-21,169,46,1,0
,25-22,171,146,6,1
,25-23,244,99,6,1
,25-24,190,66,5,3
,26-01,131,303,4,2
,26-02,180,491,3,0
,26-03,125,322,3,0
,26-04,141,307,3,0
,26-05,156,295,3,1
,26-06,190,370,2,0
,26-07,172,297,4,0
,26-08,219,301,7,2
,26-09,175,355,4,0
,26-10,206,141,2,0
,26-11,204,183,1,1
,26-12,230,213,3,1
,26-13,166,210,2,0
,26-14,238,204,3,3
,26-15,162,225,1,2
,26-16,304,126,1,4
,26-17,242,127,1,0
,26-18,213,202,3,2
,26-19,227,198,1,1
,26-20,95,156,0,0
,26-21,178,166,4,0
,26-22,237,101,1,0
,26-23,480,450,5,1
,27-01,316,43,2,3
,27-02,455,26,5,3
,27-03,169,35,1,0
,27-04,256,7,5,1
,27-05,393,36,6,5
,27-06,606,63,2,2
,27-07,380,27,6,1
,27-08,226,21,1,1
,27-09,518,53,3,2
,27-10,250,10,2,0
,27-11,541,68,2,2
,27-12,268,5,1,0
,27-13,473,29,4,6
,27-14,463,30,6,4
,27-15,392,15,1,2
,27-16,282,18,2,3
,27-17,269,11,5,0
,27-18,133,9,0,1
,27-19,422,56,3,1
,27-20,135,8,0,3
,27-21,124,9,1,1
,27-22,315,30,1,1
,27-23,538,30,1,5
,28-01,214,4,0,0
,28-02,248,6,0,0
,28-03,297,5,2,0
,28-04,252,10,1,1
,28-05,327,9,3,1
,28-06,281,8,1,1
,28-07,181,6,0,0
,28-08,353,9,1,0
,28-09,353,10,1,0
,28-10,250,6,1,0
,28-11,197,7,0,0
,28-12,259,8,2,1
,28-13,264,10,0,0
,28-14,221,7,2,0
,28-15,226,5,0,1
,28-16,212,4,0,0
,28-17,221,5,0,1
,28-18,253,14,0,0
,29-01,327,34,0,3
,29-02,155,2,2,1
,29-03,529,29,5,8
,29-04,166,3,0,0
,29-05,122,4,0,0
,29-06,133,2,3,0
,29-07,47,2,1,0
,29-08,209,11,1,0
,29-09,188,7,1,2
,29-10,825,61,5,4
,29-11,370,23,2,1
,29-12,459,37,3,4
,29-13,373,15,3,2
,29-14,227,9,2,1
,29-15,253,13,6,4
,29-16,297,12,2,2
,29-17,277,14,0,1
,29-18,306,19,6,0
,30-01,795,80,7,4
,30-02,487,60,1,3
,30-03,484,41,2,3
,30-04,419,39,1,1
,30-05,485,47,7,2
,30-06,578,30,2,3
,30-07,846,92,7,1
,30-08,576,44,3,2
,30-09,671,49,7,2
,30-10,466,40,5,1
,30-11,516,43,6,2
,30-12,481,33,2,2
,30-13,581,50,5,0
,30-14,483,28,1,2
,30-15,592,39,2,2
,30-16,643,88,5,2
,30-17,1167,155,4,5
,31-01,567,62,2,4
,31-02,170,56,0,0
,31-03,513,81,5,0
,31-04,438,144,7,3
,31-05,339,99,3,0
,31-06,306,85,2,2
,31-07,434,188,13,1
,31-08,598,95,7,5
,31-09,492,47,4,0
,31-10,391,58,13,3
,31-11,412,106,9,0
,31-12,312,108,7,3
,31-13,336,85,4,1
,31-14,285,98,2,1
,31-15,405,128,8,2
,31-16,365,166,8,1
,31-17,251,129,3,0
,31-18,250,87,2,1
,31-19,266,115,3,3
,32-01,143,6,2,0
,32-02,224,3,1,1
,32-03,227,5,2,1
,32-04,233,11,2,2
,32-05,138,10,5,1
,32-06,242,19,2,0
,32-07,304,22,4,3
,32-08,223,14,5,3
,32-09,348,20,4,1
,32-10,317,12,0,1
,32-11,320,18,2,1
,32-12,282,10,1,2
,32-13,170,5,0,0
,32-14,123,10,1,0
,32-15,231,6,1,1
,32-16,194,8,0,1
,32-17,190,7,1,1
,32-18,253,8,0,0
,32-19,250,5,0,0
,32-20,231,7,0,0
,32-21,260,6,3,1
,32-22,229,6,0,0
,32-23,259,8,1,0
,32-24,215,7,1,1
,32-25,285,9,2,0
,32-26,224,2,0,1
,32-27,232,6,3,0
,32-28,370,9,1,0
,32-29,239,10,0,1
,32-30,255,9,0,3
,32-31,279,6,4,1
,33-01,283,97,0,1
,33-02,291,95,0,0
,33-03,214,91,2,0
,33-04,211,89,2,0
,33-05,237,62,1,0
,33-06,284,93,0,3
,33-07,366,58,0,0
,33-08,286,64,2,0
,33-09,282,77,5,2
,33-10,252,74,3,0
,33-11,345,83,2,0
,33-12,381,101,3,0
,33-13,267,82,2,1
,33-14,220,69,4,1
,33-15,217,61,3,1
,33-16,164,54,2,0
,33-17,141,30,1,0
,33-18,133,24,1,1
,33-19,210,45,0,0
,33-20,166,32,0,1
,33-21,158,22,0,0
,33-22,262,43,1,0
,33-23,176,36,2,0
,33-24,295,38,3,2
,34-01,278,8,0,1
,34-02,374,8,2,0
,34-03,288,11,1,1
,34-04,244,3,1,0
,34-05,280,9,0,1
,34-06,411,12,1,1
,34-07,385,11,6,0
,34-08,467,8,0,1
,34-09,298,11,4,0
,34-10,403,6,3,0
,34-11,447,7,3,1
,34-12,511,24,3,2
,34-13,450,16,2,0
,34-14,476,27,8,2
,34-15,479,9,5,0
,34-16,329,15,1,1
,34-17,445,24,2,0
,34-18,466,27,3,1
,34-19,602,35,2,1
,34-20,566,12,4,1
,34-21,611,17,1,1
,34-22,457,42,0,1
,34-23,458,73,1,3
,34-24,353,11,2,2
,34-25,434,105,7,1
,34-26,248,9,3,0
,34-27,426,15,3,0
,34-28,416,25,2,0
,34-29,469,33,1,1
,34-30,436,32,1,1
,34-31,497,39,4,0
,34-32,371,16,3,1
,34-33,467,26,2,1
,34-34,384,59,2,5
,34-35,284,11,0,0
,34-36,300,10,1,0
,34-37,373,18,2,1
,34-38,316,4,1,0
,34-39,439,36,3,1
,34-40,395,26,2,0
,34-41,547,31,0,4
,34-42,305,9,0,0
,35-01,379,111,7,1
,35-02,349,145,3,2
,35-03,277,108,5,0
,35-04,264,101,4,1
,35-05,385,159,4,1
,35-06,355,65,3,0
,35-07,421,146,3,2
,35-08,304,72,2,0
,35-09,515,99,5,1
,35-10,375,45,2,1
,35-11,365,67,2,3
,35-12,314,82,1,1
,35-13,444,31,3,0
,35-14,267,22,2,1
,35-15,290,26,1,2
,35-16,344,47,3,0
,35-17,378,30,3,1
,35-18,379,42,0,0
,35-19,348,33,0,0
,35-20,324,70,2,3
,35-21,396,55,3,1
,35-22,342,51,4,0
,35-23,327,33,3,0
,35-24,353,38,4,0
,35-25,303,75,3,1
,35-26,239,40,2,1
,35-27,188,62,1,0
,35-28,274,25,1,0
,35-29,238,66,0,1
,35-30,268,37,1,0
,35-31,267,40,2,0
,35-32,302,102,5,1
,36-01,369,24,5,1
,36-02,377,27,3,1
,36-03,375,30,4,0
,36-04,292,12,4,0
,36-05,411,17,2,1
,36-06,426,36,6,0
,36-07,408,31,3,2
,36-08,466,33,2,1
,36-09,411,29,1,1
,36-10,406,11,4,3
,36-11,330,19,4,1
,36-12,337,19,0,2
,36-13,393,26,4,0
,36-14,208,73,0,0
,36-15,342,17,2,0
